adduser	3.153ubuntu1
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libbabeltrace1:amd64	1.5.11-5build1
libbinutils:amd64	2.46-3ubuntu2
libblkid1:amd64	2.41.3-3ubuntu2
libboost-iostreams1.90.0:amd64	1.90.0-6ubuntu1
libboost-thread1.90.0:amd64	1.90.0-6ubuntu1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbrlapi0.8:amd64	6.7-1ubuntu6
libbrotli1:amd64	1.2.0-3build1
libbsd0:amd64	0.12.2-2build2
libbz2-1.0:amd64	1.0.8-6build2
libc-bin	2.43-2ubuntu2
libc-dev-bin	2.43-2ubuntu2
libc-gconv-modules-extra:amd64	2.43-2ubuntu2
libc6:amd64	2.43-2ubuntu2
libc6-arm64-cross	2.43-2ubuntu2cross1
libc6-dbg:amd64	2.43-2ubuntu2
libc6-dev:amd64	2.43-2ubuntu2
libc6-dev-arm64-cross	2.43-2ubuntu2cross1
libcaca0:amd64	0.99.beta20-6ubuntu2.1
libcacard0:amd64	1:2.8.1-2
libcairo-gobject2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcapstone5:amd64	5.0.7-2
libcbor0.10:amd64	0.10.2-2ubuntu3
libcc1-0:amd64	16-20260322-1ubuntu1
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2
libclang-common-21-dev:amd64	1:21.1.8-6ubuntu1
libclang-cpp21	1:21.1.8-6ubuntu1
libclang1-21	1:21.1.8-6ubuntu1
libcolord2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt-dev:amd64	1:4.5.1-1
libcrypt1:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.3
libcurl4t64:amd64	8.18.0-1ubuntu2.3
libdatrie1:amd64	0.2.14-1
libdaxctl1:amd64	81-1ubuntu1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdconf1:amd64	0.49.0-4
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod-common	0.194-4
libdebuginfod1t64:amd64	0.194-4
libdecor-0-0:amd64	0.2.5-1
libdecor-0-plugin-1-gtk:amd64	0.2.5-1
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdisplay-info3:amd64	0.3.0-1
libdpkg-perl	1.23.7ubuntu1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdv4t64:amd64	1.0.0-17.1build2
libdw1t64:amd64	0.194-4
libdwarves1:amd64	1.31-2ubuntu1
libeatmydata1:amd64	131-2build1
libedit2:amd64	3.1-20251016-1
libegl-mesa0:amd64	26.0.3-1ubuntu1
libegl1:amd64	1.7.0-3
libelf-dev:amd64	0.194-4
libelf1t64:amd64	0.194-4
libepoxy0:amd64	1.5.10-2build1
liberror-perl	0.17030-1
libestr0:amd64	0.1.11-2build1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10build2
libexpat1:amd64	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfakeroot:amd64	1.37.2-1
libfastjson4:amd64	1.2304.0-2build1
libfdisk1:amd64	2.41.3-3ubuntu2
libfdt1:amd64	1.7.2-2ubuntu1
libffi-dev:amd64	3.5.2-4
libffi8:amd64	3.5.2-4
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libfido2-1:amd64	1.16.0-2build1
libfile-fcntllock-perl	0.22-4ubuntu6
libfl-dev:amd64	2.6.4-8.2build2
libfl2:amd64	2.6.4-8.2build2
libflac14:amd64	1.5.0+ds-5
libfontconfig1:amd64	2.17.1-3ubuntu1
libfreetype6:amd64	2.14.2+dfsg-1
libfribidi0:amd64	1.0.16-5
libfuse3-4:amd64	3.18.2-1
libfyaml0:amd64	0.9.4-1
libgbm1:amd64	26.0.3-1ubuntu1
libgc1:amd64	1:8.2.12-1
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-15-dev-arm64-cross	15.2.0-16ubuntu1cross1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcc-s1-arm64-cross	16-20260322-1ubuntu1cross1
libgcrypt20:amd64	1.12.0-2ubuntu0.1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgirepository-2.0-0:amd64	2.88.0-1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.3-1ubuntu1
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgomp1-arm64-cross	16-20260322-1ubuntu1cross1
libgpg-error-l10n	1.58-2
libgpg-error0:amd64	1.58-2
libgpm2:amd64	1.20.7-12build1
libgprofng0:amd64	2.46-3ubuntu2
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1
libgstreamer1.0-0:amd64	1.28.2-1
libgtk-3-0t64:amd64	3.24.52-0ubuntu1
libgtk-3-bin	3.24.52-0ubuntu1
libgtk-3-common	3.24.52-0ubuntu1
libgudev-1.0-0:amd64	1:238-7build1
libharfbuzz0b:amd64	12.3.2-2
libheif-plugin-aomdec:amd64	1.21.2-3ubuntu0.1
libheif-plugin-aomenc:amd64	1.21.2-3ubuntu0.1
libheif1:amd64	1.21.2-3ubuntu0.1
libhogweed6t64:amd64	3.10.2-1
libhwasan0:amd64	16-20260322-1ubuntu1
libhwasan0-arm64-cross	16-20260322-1ubuntu1cross1
libhwy1t64:amd64	1.3.0-2
libibus-1.0-5:amd64	1.5.34~rc2-1
libibverbs1:amd64	61.0-2ubuntu3
libicu78:amd64	78.2-2ubuntu1
libidn2-0:amd64	2.3.8-4build1
libiec61883-0:amd64	1.2.0-8
libipt2	2.1.2-3
libiscsi7:amd64	1.20.0-4build1
libisl23:amd64	0.27-1build1
libitm1:amd64	16-20260322-1ubuntu1
libitm1-arm64-cross	16-20260322-1ubuntu1cross1
libjack-jackd2-0:amd64	1.9.22~dfsg-5build1
libjansson4:amd64	2.14-2build4
libjemalloc2:amd64	5.3.0-4
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libjq1:amd64	1.8.1-4ubuntu2
libjs-sphinxdoc	8.2.3-12
libjson-c5:amd64	0.18+ds-3
libjsoncpp26:amd64	1.9.6-5
libjxl0.11:amd64	0.11.1-6ubuntu4.2
libk5crypto3:amd64	1.22.1-2ubuntu4
libkeyutils1:amd64	1.6.3-6ubuntu3
libkmod2:amd64	34.2-2ubuntu2
libkrb5-3:amd64	1.22.1-2ubuntu4
libkrb5support0:amd64	1.22.1-2ubuntu4
libksba8:amd64	1.6.7-2build1
liblcms2-2:amd64	2.17-1ubuntu0.2
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
libllvm21:amd64	1:21.1.8-6ubuntu1
liblocale-gettext-perl	1.07-8
liblsan0:amd64	16-20260322-1ubuntu1
liblsan0-arm64-cross	16-20260322-1ubuntu1cross1
liblsof0	4.99.4+dfsg-2build2
libltdl-dev:amd64	2.5.4-9
libltdl7:amd64	2.5.4-9
liblz4-1:amd64	1.10.0-8
liblzma-dev:amd64	5.8.3-1
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmagic-mgc	1:5.46-5build2
libmagic1t64:amd64	1:5.46-5build2
libmd0:amd64	1.1.0-2build4
libmnl0:amd64	1.0.5-3build1
libmount1:amd64	2.41.3-3ubuntu2
libmp3lame0:amd64	3.101~svn6525+dfsg-2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpc3:amd64	1.3.1-3
libmpfr6:amd64	4.2.2-3
libmpg123-0t64:amd64	1.33.3-2
libmultipath0	0.14.3-2ubuntu1
libncurses-dev:amd64	6.6+20251231-1
libncurses6:amd64	6.6+20251231-1
libncursesw6:amd64	6.6+20251231-1
libndctl6:amd64	81-1ubuntu1
libnetplan1:amd64	1.2-1ubuntu5
libnettle8t64:amd64	3.10.2-1
libnewt0.52:amd64	0.52.25-1ubuntu3
libnfs14:amd64	5.0.2-1ubuntu1.1
libnghttp2-14:amd64	1.68.0-2ubuntu0.1
libnl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnpth0t64:amd64	1.8-3build1
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss-systemd:amd64	259.5-0ubuntu3
libnss3:amd64	2:3.120-1ubuntu2.1
libnuma1:amd64	2.0.19-1build1
libobjc-15-dev:amd64	15.2.0-16ubuntu1
libobjc4:amd64	16-20260322-1ubuntu1
libogg0:amd64	1.3.6-2
libonig5:amd64	6.9.10-1build1
libopus0:amd64	1.6.1-1
liborc-0.4-0t64:amd64	1:0.4.42-2
libp11-kit0:amd64	0.26.2-2
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1
libpam-cap:amd64	1:2.75-10ubuntu2
libpam-modules:amd64	1.7.0-5ubuntu3
libpam-modules-bin	1.7.0-5ubuntu3
libpam-runtime	1.7.0-5ubuntu3
libpam-systemd:amd64	259.5-0ubuntu3
libpam0g:amd64	1.7.0-5ubuntu3
libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libpciaccess0:amd64	0.18.1-1ubuntu4
libpcre2-8-0:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libperl5.40:amd64	5.40.1-7build1
libpfm4:amd64	4.13.0+git106-g3e4031b-1
libpipeline1:amd64	1.5.8-2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-common	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libpkgconf7:amd64	2.5.1-4
libpmem1:amd64	1.13.1-1.1ubuntu4
libpmemobj1:amd64	1.13.1-1.1ubuntu4
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpopt0:amd64	1.19+dfsg-2build1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproxy1v5:amd64	0.5.12-1
libpsl5t64:amd64	0.21.2-1.1build2
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpython3-dev:amd64	3.14.3-0ubuntu2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14:amd64	3.14.4-1
libpython3.14-dev:amd64	3.14.4-1
libpython3.14-minimal:amd64	3.14.4-1
libpython3.14-stdlib:amd64	3.14.4-1
libquadmath0:amd64	16-20260322-1ubuntu1
librados2	20.2.0-0ubuntu2
libraw1394-11:amd64	2.1.2-2build4
librbd1	20.2.0-0ubuntu2
librdmacm1t64:amd64	61.0-2ubuntu3
libreadline8t64:amd64	8.3-4
librhash1:amd64	1.4.6-1.1
librsvg2-2:amd64	2.61.3+dfsg-3
librsvg2-common:amd64	2.61.3+dfsg-3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
libsamplerate0:amd64	0.2.2-4build2
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libsdl2-2.0-0:amd64	2.32.10+dfsg-6
libsdl2-classic:amd64	2.32.10+dfsg-6
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5:amd64	1:3.6.2-2build1
libsepol2:amd64	3.9-2
libsframe3:amd64	2.46-3ubuntu2
libsharpyuv0:amd64	1.5.0-0.1build1
libshout3:amd64	2.4.6-1build3
libsimdutf31:amd64	8.0.0-1
libslang2:amd64	2.3.3-5build1
libslirp0:amd64	4.9.1-1ubuntu1.1
libsmartcols1:amd64	2.41.3-3ubuntu2
libsndfile1:amd64	1.2.2-4
libsodium23:amd64	1.0.18-2
libsoup-3.0-0:amd64	3.6.6-1
libsoup-3.0-common	3.6.6-1
libsource-highlight-common	3.1.9-4.3build2
libsource-highlight4t64:amd64	3.1.9-4.3build2
libspa-0.2-modules:amd64	1.6.2-1ubuntu1.1
libspeex1:amd64	1.2.1-3build1
libspice-server1:amd64	0.16.0-1
libsqlite3-0:amd64	3.46.1-9
libss2:amd64	1.47.2-3ubuntu4
libssh-4:amd64	0.11.3-1ubuntu1
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.1
libssl-dev:amd64	3.5.5-1ubuntu3.3
libssl3t64:amd64	3.5.5-1ubuntu3.3
libstdc++-15-dev:amd64	15.2.0-16ubuntu1
libstdc++-15-dev-arm64-cross	15.2.0-16ubuntu1cross1
libstdc++6:amd64	16-20260322-1ubuntu1
libstdc++6-arm64-cross	16-20260322-1ubuntu1cross1
libstemmer0d:amd64	3.0.1-1
libsystemd-shared:amd64	259.5-0ubuntu3
libsystemd0:amd64	259.5-0ubuntu3
libtag2:amd64	2.2.1-3
libtasn1-6:amd64	4.21.0-2
libtext-charwidth-perl:amd64	0.04-11build4
libtext-iconv-perl:amd64	1.7-8.1
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.30-1
libthai0:amd64	0.1.30-1
libtheora1:amd64	1.2.0+dfsg-6
libtheoradec2:amd64	1.2.0+dfsg-6
libtheoraenc2:amd64	1.2.0+dfsg-6
libtinfo6:amd64	6.6+20251231-1
libtirpc-common	1.3.7-0.1
libtirpc3t64:amd64	1.3.7-0.1
libtool	2.5.4-9
libtsan2:amd64	16-20260322-1ubuntu1
libtsan2-arm64-cross	16-20260322-1ubuntu1cross1
libtwolame0:amd64	0.4.0-2build4
libubsan1:amd64	16-20260322-1ubuntu1
libubsan1-arm64-cross	16-20260322-1ubuntu1cross1
libuchardet0:amd64	0.0.8-2
libudev1:amd64	259.5-0ubuntu3
libunicorn2t64:amd64	2.1.4-3
libunistring5:amd64	1.3-2build1
liburcu8t64:amd64	0.15.6-1
liburing2:amd64	2.14-1
libusb-1.0-0:amd64	2:1.0.29-2build1
libusbredirparser1t64:amd64	0.15.0-1build1
libuuid1:amd64	2.41.3-3ubuntu2
libuv1t64:amd64	1.51.0-2ubuntu1
libv4l-0t64:amd64	1.32.0-2ubuntu1
libv4lconvert0t64:amd64	1.32.0-2ubuntu1
libva-drm2:amd64	2.23.0-1ubuntu1
libva2:amd64	2.23.0-1ubuntu1
libvirglrenderer1:amd64	1.2.0-2ubuntu2
libvisual-0.4-0:amd64	0.4.2-4
libvorbis0a:amd64	1.3.7-3build2
libvorbisenc2:amd64	1.3.7-3build2
libvpx12:amd64	1.16.0-3
libvte-2.91-0:amd64	0.84.0-2
libvte-2.91-common	0.84.0-2
libvulkan1:amd64	1.4.341.0-1
libwavpack1:amd64	5.9.0-1
libwayland-client0:amd64	1.24.0-2
libwayland-cursor0:amd64	1.24.0-2
libwayland-egl1:amd64	1.24.0-2
libwebrtc-audio-processing-1-3:amd64	1.3-3build2
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libx11-xcb1:amd64	2:1.8.13-1
libxau6:amd64	1:1.0.11-1build2
libxcb-dri3-0:amd64	1.17.0-2ubuntu1
libxcb-glx0:amd64	1.17.0-2ubuntu1
libxcb-present0:amd64	1.17.0-2ubuntu1
libxcb-randr0:amd64	1.17.0-2ubuntu1
libxcb-render0:amd64	1.17.0-2ubuntu1
libxcb-shm0:amd64	1.17.0-2ubuntu1
libxcb-sync1:amd64	1.17.0-2ubuntu1
libxcb-xfixes0:amd64	1.17.0-2ubuntu1
libxcb1:amd64	1.17.0-2ubuntu1
libxcomposite1:amd64	1:0.4.6-1build1
libxcursor1:amd64	1:1.2.3-1build1
libxdamage1:amd64	1:1.1.7-1
libxdmcp6:amd64	1:1.1.5-2
libxext6:amd64	2:1.3.4-1build3
libxfixes3:amd64	1:6.0.0-2build2
libxi6:amd64	2:1.8.2-2
libxinerama1:amd64	2:1.1.4-3build2
libxkbcommon0:amd64	1.13.1-1
libxml2-16:amd64	2.15.2+dfsg-0.1ubuntu0.1
libxml2-dev:amd64	2.15.2+dfsg-0.1ubuntu0.1
libxmlb2:amd64	0.3.24-2
libxmuu1:amd64	2:1.1.3-4
libxrandr2:amd64	2:1.5.4-1build1
libxrender1:amd64	1:0.9.12-1build1
libxres1:amd64	2:1.2.1-1build2
libxshmfence1:amd64	1.3.3-1build1
libxss1:amd64	1:1.2.3-1build4
libxtables12:amd64	1.8.11-2ubuntu3
libxtst6:amd64	2:1.2.5-1build1
libxv1:amd64	2:1.0.13-1
libxxf86vm1:amd64	1:1.1.4-2
libxxhash0:amd64	0.8.3-2build1
libyaml-0-2:amd64	0.2.5-2build3
libzstd-dev:amd64	1.5.7+dfsg-3
libzstd1:amd64	1.5.7+dfsg-3
linux-libc-dev:amd64	7.0.0-22.22
linux-libc-dev-arm64-cross	7.0.0-13.13cross1
linux-sysctl-defaults	4.15ubuntu5
lld:amd64	1:21.1.6-71
lld-21	1:21.1.8-6ubuntu1
llvm-21	1:21.1.8-6ubuntu1
llvm-21-dev	1:21.1.8-6ubuntu1
llvm-21-linker-tools	1:21.1.8-6ubuntu1
llvm-21-runtime	1:21.1.8-6ubuntu1
llvm-21-tools	1:21.1.8-6ubuntu1
locales	2.43-2ubuntu2
login	1:4.16.0-2+really2.41.3-3ubuntu2
login.defs	1:4.17.4-2ubuntu3
logrotate	3.22.0-1build1
logsave	1.47.2-3ubuntu4
lsb-release	12.1-2build1
lshw	02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3
lsof	4.99.4+dfsg-2build2
lto-disabled-list	79
m4	1.4.21-1
make	4.4.1-3
man-db	2.13.1-1build1
manpages	6.17-1
manpages-dev	6.17-1
mawk	1.3.4.20260129-1
media-types	14.0.0build1
mesa-libgallium:amd64	26.0.3-1ubuntu1
mesa-vulkan-drivers:amd64	26.0.3-1ubuntu1
motd-news-config	14ubuntu6
mount	2.41.3-3ubuntu2
nano	8.7.1-1ubuntu0.1
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
netbase	6.5build1
netcat-openbsd	1.234-1
netplan-generator	1.2-1ubuntu5
netplan.io	1.2-1ubuntu5
networkd-dispatcher	2.2.4-1.1ubuntu1
ninja-build	1.13.2-1
openssh-client	1:10.2p1-2ubuntu3.2
openssl	3.5.5-1ubuntu3.3
openssl-provider-legacy	3.5.5-1ubuntu3.3
packagekit	1.3.4-3ubuntu1
pahole	1.31-2ubuntu1
passwd	1:4.17.4-2ubuntu3
pastebinit	1.8.0-1
